81,9286 19 2 351 2635
82,8865
83,128 9514 17 316 534 474
84,1674 9067 9818 7884 2114
85,9966 27
86,437 6168 9999
87,691 9006 157 9560 1010
88,1142 9999 88 6074
89,532 9963 8166 172 8383 9155 9997
90,9710 5932 1890 9555 7384
91,8135 8390 4779
92,7192 839
93,35
94,3252 9086 3355 9198 329 1461 125 6442
95,3853
96,2374 7864 7971 2 5929 20 8136
97,4015 1358 7470 6820 262
98,9536 712 4317 1810 5670
99,4743
100,98 3212 57 9965
101,5187 212 9719 9535 9776 8502
102,3363 9986 9072 6337 334 553
103,5499 5579 525
104,8014 1370
105,7226 3285 32 8789 783 234
106,7874 3406 3123
107,2530 6590 293 9185 9401 9381
108,6506 6832 8336 9747 9923 8958 4002
109,60 9999 6412 8 4642
110,158 7756 6280 5 1557 5348
111,32 857 9039 390 9720 8944 8959 9995
112,1439 4168 9668
113,9308 2123 9933
114,9908 7314 9996 8078 8313 208 7471
115,1816 124 7913 9992 4475 1210 6680
116,3207 1283 9991 891
117,233 151
118,1022 748 884
119,7773 1923 9965 9111 6300
120,9986 5775
121,9531 2114 4103 8256 9457 9842
122,3345 153 9985 8524 4717 850 1
123,6690 9029 1036 9 8345 1744 9895
124,9853 1 2476
125,1197
126,7967 3667 8434 308 641
127,2780
128,5209 3388 1560 3976
129,9985 4270 3961 8168 9006 1488
130,5809 2225
131,783 9536 8967 9882 6676
132,9595 9749 9893 2520 7462 9999 184
133,9776 9485 9997 90 987
134,9970
135,1024 5583 482 1696 1644 9266
136,1
137,318
138,3541 8484
139,7906 242 9939
140,7859 3456 70
141,6163 9985 138
142,8401 9744
143,3296 5222 228 6107 51
144,1336 538 9400 6 7782 4785 380
145,2439 582 540 2631 9421 76 1008 5815
146,40 9456 8306
147,2460 8783
148,145 8847
149,91 45 6750 208 9250 102 180 6550
150,4709 2205 9874 687
151,137 9279 9993 494 8762 4075 6267 1
152,9693 209 9995 121 88 1235
153,6550 9998 9127 3993 9926 19
154,6079 8824
155,7 9820 195 1077 6581 9790
156,1383 3459 258
157,9865 355 3142 7700
158,3678 9800 816 5518 4789 9772 330 5218
159,8237 8783 1573 9531 9216 4368
160,8647 219 285 5062 8116 9916 4351
161,4799 776
162,178 7978 2 9966 245 9603 9157 9930
163,828 306 7095
164,2735 7864 6142 9858 8402
165,9836 9693 7608 2710 2739
166,5627 1262 9893
167,8805 313 9994 1233 9196 1446 9460
168,1752 7965 8842 8187 527 2426
169,2521 2171 9019 387
170,8991 9786 8388 2400
171,3584 1525 6794
172,9971 8680 9981 158 8599
173,9862 9978 9997 9802 5766
174,9999 3626 2896
175,9891 9423 15 7313 8586 902 8747 78
176,4600 183 5977 203 4417
177,390 9999 9888 1 4176 137 206 9857
178,8131
179,149 7694 176 9999
180,4496 3
